timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610650444906,9286,deleting user,404,,Load Test 1-156,text,false,,376,208,310,310,http://localhost:9092/user/delete/,9286,0,1
1610650428723,25519,deleting user,204,,Load Test 1-375,,true,,191,211,309,309,http://localhost:9092/user/delete/557,0,0,0
1610650428754,25544,UpdateUser,202,,Load Test 1-87,text,true,,389,242,308,308,http://localhost:9092/user/update/1,25544,0,0
1610650428769,25588,UpdateUser,202,,Load Test 1-465,text,true,,389,242,307,307,http://localhost:9092/user/update/1,25588,0,0
1610650428769,25642,UpdateUser,202,,Load Test 1-42,text,true,,389,242,306,306,http://localhost:9092/user/update/1,25642,0,0
1610650428815,25655,UpdateUser,202,,Load Test 1-78,text,true,,389,242,305,305,http://localhost:9092/user/update/1,25655,0,0
1610650428907,25677,UpdateUser,202,,Load Test 1-64,text,true,,389,242,304,304,http://localhost:9092/user/update/1,25677,0,0
1610650445061,9525,deleting user,404,,Load Test 1-151,text,false,,376,208,303,303,http://localhost:9092/user/delete/,9525,0,1
1610650418628,37594,ReadUsers,200,,Load Test 1-446,text,true,,29638,183,302,302,http://localhost:9092/user/read,37593,0,0
1610650428953,27379,UpdateUser,202,,Load Test 1-69,text,true,,389,242,301,301,http://localhost:9092/user/update/1,27378,0,0
